,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,
23,250,253,250,254,250,253,250,253,251,253,250,253,250,266,250,253,250,252,253,250,254,250,253,250,253,250,253,250,253,283,254,251,254,250,253,250,253,250,254,250,253,250,253,250,266,250,254,250,253,252,251,253,250,253,250,254,250,253,250,253,265,250,253,250,253,
24,250,253,250,253,250,254,250,253,250,253,250,286,250,254,250,252,254,251,253,250,253,250,254,250,253,250,253,263,254,250,254,250,253,250,253,250,254,250,253,250,253,251,253,262,254,251,253,252,250,254,250,253,250,253,250,254,250,253,283,254,254,250,253,250,253,
25,250,254,250,253,250,253,250,254,250,266,250,253,250,252,254,250,253,250,253,250,253,250,253,250,253,262,253,250,253,251,253,250,253,250,254,250,253,250,253,250,254,282,253,250,253,252,250,253,250,253,250,253,250,253,250,253,263,254,251,254,250,253,250,253,250,
26,253,250,253,253,250,254,251,266,250,254,250,252,253,251,253,250,253,250,253,250,253,250,253,282,254,250,254,250,253,250,253,250,254,250,253,250,254,250,253,263,254,250,253,252,251,253,250,253,250,254,250,253,250,253,262,253,250,253,250,253,250,253,250,253,250,
27,254,251,253,250,253,286,250,253,250,252,254,250,253,250,253,250,254,250,253,250,253,263,254,251,253,250,253,250,254,250,253,250,253,250,254,250,253,262,254,251,253,252,250,254,250,253,250,253,250,254,250,253,250,285,250,254,250,254,250,253,250,253,250,253,250,
28,253,250,254,264,253,250,254,252,253,250,253,251,253,250,253,250,253,250,253,262,254,250,253,250,253,250,254,250,253,250,253,250,253,250,253,282,255,250,254,251,250,253,250,254,250,253,250,253,250,254,250,266,250,253,250,253,250,253,250,253,250,253,251,253,250,
29,253,262,253,250,253,252,250,253,250,253,250,253,250,253,250,253,251,286,254,250,254,250,254,250,253,250,253,250,253,250,253,250,253,263,254,250,253,252,250,253,250,253,250,254,250,253,250,253,250,272,250,254,251,253,250,253,250,253,250,254,250,253,250,253,283,
30,254,250,253,251,250,254,250,253,250,253,250,253,250,253,250,266,253,250,254,250,253,250,253,251,254,250,253,250,253,250,253,265,253,250,253,252,250,254,250,254,251,253,250,253,250,254,250,288,250,253,250,254,250,253,250,253,250,253,250,253,250,253,264,253,250,
31,254,252,251,253,250,250,253,250,254,250,253,250,253,262,253,250,253,250,253,251,253,250,253,250,254,250,253,250,253,283,254,250,253,252,250,254,250,253,250,253,250,254,250,253,250,266,250,253,250,253,251,253,250,253,250,253,251,253,250,253,262,253,250,253,251,
32,250,253,250,254,250,253,250,253,250,253,250,285,253,250,253,250,253,251,253,250,253,250,254,250,253,250,253,262,254,250,254,252,250,254,250,253,250,254,250,254,250,253,250,265,250,253,250,253,250,254,250,253,250,253,250,254,250,253,250,286,250,253,251,250,253,
